@relation color

@attribute avgblue numeric
@attribute avgred numeric
@attribute avggreen numeric
@attribute class {red,blue,green,orange,yellow,white,unknown}

@data
147,82,98,blue
155,86,99,blue
159,82,106,blue
167,112,128,blue
172,111,132,blue
189,112,136,blue
164,98,118,blue
173,101,122,blue
181,99,130,blue
156,92,109,blue
162,92,111,blue
170,90,118,blue
141,99,106,blue
134,96,101,blue
139,91,98,blue
140,84,101,blue
146,88,99,blue
147,88,104,blue
142,84,96,blue
150,86,96,blue
153,83,103,blue
144,91,102,blue
147,89,104,blue
172,96,115,blue
144,83,98,blue
155,82,101,blue
165,84,113,blue
144,81,96,blue
151,82,97,blue
157,78,106,blue
159,99,117,blue
168,105,125,blue
192,113,139,blue
156,91,111,blue
171,96,116,blue
178,98,127,blue
154,88,104,blue
159,92,107,blue
164,89,115,blue
126,109,122,green
122,111,130,green
137,123,144,green
117,98,117,green
120,105,123,green
121,107,135,green
121,94,110,green
119,99,114,green
122,96,121,green
125,107,123,green
122,113,129,green
137,123,145,green
118,97,117,green
121,103,124,green
120,108,134,green
121,93,110,green
119,100,114,green
120,97,122,green
142,131,147,green
142,138,159,green
159,155,176,green
133,117,139,green
137,126,150,green
143,137,164,green
130,108,126,green
129,116,130,green
128,113,139,green
143,133,150,green
142,142,162,green
161,157,178,green
131,119,140,green
137,126,151,green
142,136,165,green
131,111,128,green
130,113,133,green
131,114,139,green
167,165,182,green
158,160,184,green
158,147,177,green
143,131,156,green
145,136,164,green
139,132,168,green
136,116,140,green
139,121,144,green
135,117,147,green
145,146,158,green
136,144,161,green
143,139,162,green
127,117,138,green
133,123,146,green
127,122,152,green
126,109,126,green
125,113,130,green
124,109,136,green
116,93,106,green
111,98,116,green
119,103,123,green
110,86,106,green
115,91,111,green
109,94,119,green
113,86,101,green
113,92,103,green
111,89,112,green
118,105,113,green
114,104,115,green
121,101,114,green
112,94,108,green
114,94,111,green
111,96,115,green
118,90,104,green
115,93,105,green
114,90,112,green
164,168,183,green
159,169,188,green
179,182,205,green
143,142,165,green
150,154,176,green
156,164,189,green
140,122,149,green
141,130,154,green
139,130,160,green
112,216,123,orange
106,234,127,orange
113,242,133,orange
103,212,113,orange
100,232,118,orange
98,237,122,orange
106,193,104,orange
100,209,106,orange
97,212,111,orange
150,254,183,orange
141,255,185,orange
138,255,171,orange
120,254,156,orange
121,255,160,orange
116,254,160,orange
117,239,137,orange
113,250,140,orange
109,247,140,orange
154,255,190,orange
146,255,191,orange
138,255,174,orange
124,254,159,orange
125,255,164,orange
117,254,161,orange
118,241,140,orange
113,251,142,orange
110,249,142,orange
160,255,198,orange
152,255,200,orange
143,255,181,orange
129,254,167,orange
128,255,172,orange
123,255,168,orange
120,247,145,orange
116,252,148,orange
111,250,148,orange
107,179,112,orange
105,199,121,orange
118,211,133,orange
100,178,109,orange
102,201,114,orange
99,204,118,orange
104,160,104,orange
104,178,105,orange
98,184,109,orange
104,184,110,orange
97,202,117,orange
105,208,119,orange
98,186,108,orange
98,206,111,orange
92,209,114,orange
104,167,104,orange
100,186,103,orange
97,188,108,orange
105,184,110,orange
101,209,118,orange
114,224,130,orange
100,187,107,orange
99,213,112,orange
94,220,117,orange
105,168,103,orange
102,189,105,orange
99,198,110,orange
106,162,106,orange
102,161,105,orange
112,152,102,orange
104,156,101,orange
102,161,97,orange
102,149,98,orange
104,144,96,orange
105,146,91,orange
99,137,91,orange
109,161,106,orange
101,160,105,orange
110,154,102,orange
101,158,100,orange
103,161,96,orange
98,149,98,orange
109,144,96,orange
105,147,92,orange
103,134,93,orange
112,206,122,orange
106,222,126,orange
118,234,137,orange
102,204,115,orange
102,222,119,orange
100,235,127,orange
104,186,108,orange
103,205,110,orange
101,213,115,orange
106,191,111,orange
100,209,118,orange
115,222,128,orange
98,193,107,orange
99,212,112,orange
97,221,119,orange
106,174,104,orange
102,195,105,orange
99,204,112,orange
106,192,110,orange
101,208,117,orange
115,221,129,orange
101,192,108,orange
99,210,111,orange
94,221,119,orange
104,175,103,orange
101,195,106,orange
99,204,111,orange
120,181,101,red
114,197,106,red
132,210,118,red
109,177,93,red
112,197,95,red
112,208,105,red
113,159,89,red
111,179,88,red
109,186,93,red
114,163,90,red
109,182,97,red
123,197,107,red
105,161,85,red
106,182,86,red
104,192,93,red
109,149,83,red
107,166,83,red
106,172,88,red
152,246,149,red
163,254,167,red
143,251,140,red
128,232,123,red
133,250,126,red
125,250,125,red
122,207,108,red
124,225,108,red
119,225,109,red
128,215,122,red
121,228,122,red
127,228,118,red
114,204,105,red
113,223,105,red
112,227,110,red
113,182,96,red
110,199,95,red
111,204,98,red
114,172,95,red
109,190,100,red
127,206,115,red
105,167,90,red
107,193,91,red
108,204,102,red
110,156,87,red
110,173,86,red
107,181,91,red
107,162,88,red
105,182,93,red
117,196,104,red
103,159,85,red
102,184,84,red
100,193,92,red
107,146,83,red
107,165,81,red
105,170,87,red
115,156,98,red
108,162,98,red
122,159,102,red
106,150,88,red
111,156,88,red
107,152,92,red
111,137,83,red
111,142,83,red
109,137,85,red
114,177,98,red
106,191,97,red
116,199,99,red
105,170,90,red
106,191,89,red
105,201,97,red
112,154,85,red
109,172,84,red
106,180,89,red
112,175,98,red
104,189,97,red
113,198,99,red
106,170,89,red
106,190,88,red
105,200,96,red
110,153,85,red
107,170,85,red
106,178,88,red
114,176,99,red
109,196,101,red
129,209,117,red
105,174,91,red
109,197,93,red
110,207,104,red
113,157,88,red
111,175,88,red
109,184,93,red
116,182,104,red
112,199,106,red
128,211,119,red
108,177,94,red
108,199,96,red
110,210,106,red
112,159,90,red
110,179,89,red
107,187,94,red
110,197,98,red
107,216,103,red
120,225,113,red
102,199,93,red
105,219,94,red
104,224,99,red
108,181,88,red
108,197,86,red
107,201,92,red
111,202,101,red
105,210,104,red
113,199,102,red
105,193,93,red
104,203,92,red
101,188,94,red
108,176,89,red
108,179,85,red
105,163,87,red

113,91,99,green
109,93,108,green
125,104,121,green
108,85,98,green
114,88,105,green
114,94,119,green
112,84,95,green
114,86,98,green
112,89,109,green
113,91,102,green
109,96,109,green
122,104,123,green
110,79,99,green
112,89,106,green
115,97,120,green
117,84,96,green
115,86,101,green
115,88,112,green
112,91,100,green
109,95,109,green
127,102,124,green
107,84,99,green
114,91,105,green
115,96,121,green
116,83,96,green
117,85,100,green
114,88,110,green
147,86,95,blue
157,86,102,blue
187,96,118,blue
145,81,93,blue
161,82,97,blue
175,84,110,blue
146,80,91,blue
157,80,92,blue
167,81,104,blue
147,84,95,blue
157,87,101,blue
183,98,116,blue
144,79,93,blue
162,81,96,blue
176,83,109,blue
147,78,91,blue
154,79,94,blue
170,80,103,blue
148,87,95,blue
156,90,100,blue
183,97,116,blue
148,77,93,blue
161,83,96,blue
174,83,108,blue
147,79,90,blue
158,79,93,blue
168,78,103,blue
150,85,94,blue
156,87,101,blue
183,97,118,blue
145,78,92,blue
160,82,97,blue
172,84,110,blue
147,78,90,blue
156,79,93,blue
165,80,103,blue
146,86,95,blue
156,86,102,blue
185,95,117,blue
147,80,93,blue
161,81,96,blue
173,84,109,blue
146,78,90,blue
160,79,92,blue
168,80,103,blue
150,84,94,blue
157,87,100,blue
184,95,117,blue
144,76,91,blue
160,82,96,blue
172,86,109,blue
147,79,91,blue
157,80,91,blue
164,81,102,blue
147,85,95,blue
157,88,102,blue
184,98,118,blue
143,78,92,blue
160,81,96,blue
171,83,109,blue
147,78,90,blue
155,81,91,blue
164,80,102,blue
148,86,95,blue
154,87,102,blue
183,96,119,blue
145,80,92,blue
164,79,98,blue
175,85,108,blue
147,82,90,blue
158,80,93,blue
167,81,104,blue
174,208,173,white
190,229,198,white
222,243,222,white
169,209,175,white
134,172,134,white
214,245,224,white
168,193,164,white
182,210,180,white
199,224,201,white
172,208,173,white
191,229,198,white
222,244,222,white
173,209,175,white
133,171,135,white
216,246,225,white
169,192,164,white
183,211,181,white
200,225,202,white
173,208,173,white
191,229,198,white
221,244,222,white
172,210,174,white
133,172,134,white
215,246,225,white
168,193,164,white
184,211,181,white
199,226,203,white
175,208,173,white
193,229,198,white
222,243,222,white
171,209,175,white
134,171,134,white
214,245,224,white
168,193,164,white
182,211,181,white
199,225,203,white
171,208,173,white
191,231,198,white
223,244,223,white
172,208,175,white
137,171,138,white
215,246,226,white
170,194,163,white
181,212,181,white
200,225,204,white
172,208,173,white
189,230,198,white
222,244,223,white
172,208,175,white
133,170,132,white
213,246,224,white
168,192,165,white
181,210,181,white
198,224,201,white
110,207,146,yellow
101,231,168,yellow
116,248,189,yellow
103,208,148,yellow
99,234,167,yellow
101,249,188,yellow
113,192,141,yellow
105,214,156,yellow
106,220,169,yellow
109,208,147,yellow
102,232,168,yellow
120,248,190,yellow
106,208,148,yellow
101,235,167,yellow
100,248,189,yellow
111,192,140,yellow
105,216,156,yellow
107,221,168,yellow
109,206,147,yellow
100,232,166,yellow
117,247,189,yellow
105,207,149,yellow
101,234,166,yellow
101,248,188,yellow
111,194,139,yellow
106,214,156,yellow
105,221,169,yellow
100,200,97,orange
92,221,103,orange
107,236,114,orange
94,200,96,orange
96,227,100,orange
92,241,109,orange
103,184,94,orange
98,210,96,orange
98,220,106,orange
103,200,97,orange
93,223,103,orange
107,237,113,orange
97,200,95,orange
95,227,100,orange
92,241,109,orange
104,184,94,orange
102,208,96,orange
102,221,106,orange
103,199,98,orange
92,223,103,orange
106,237,114,orange
94,201,95,orange
94,226,99,orange
89,240,110,orange
106,183,93,orange
101,207,97,orange
99,220,106,orange
103,200,97,orange
92,223,103,orange
106,237,114,orange
96,202,96,orange
92,228,100,orange
92,240,109,orange
105,184,94,orange
100,208,95,orange
101,219,106,orange
102,199,96,orange
93,222,103,orange
106,235,114,orange
98,200,95,orange
94,227,99,orange
93,240,110,orange
105,184,95,orange
100,208,96,orange
99,220,106,orange
104,201,96,orange
94,223,103,orange
107,237,113,orange
94,201,96,orange
94,229,99,orange
90,240,110,orange
106,184,94,orange
99,208,96,orange
98,219,107,orange
106,200,96,orange
94,222,103,orange
110,235,114,orange
95,202,95,orange
94,227,100,orange
93,239,110,orange
105,183,94,orange
102,209,97,orange
104,220,106,orange
103,199,97,orange
91,223,103,orange
109,237,114,orange
97,198,96,orange
93,227,100,orange
92,240,109,orange
105,182,94,orange
102,207,97,orange
101,219,106,orange
109,159,81,red
100,178,82,red
118,186,88,red
104,161,78,red
102,185,76,red
105,195,86,red
114,149,77,red
109,168,77,red
108,176,84,red
111,160,81,red
100,178,82,red
114,188,89,red
105,163,77,red
102,184,79,red
105,194,86,red
114,150,79,red
110,169,76,red
112,176,83,red
108,162,80,red
103,178,83,red
114,189,87,red
102,161,77,red
103,184,76,red
105,191,87,red
112,149,79,red
111,167,77,red
110,177,83,red
105,200,98,orange
94,223,104,orange
111,235,115,orange
102,202,97,orange
96,228,102,orange
95,241,111,orange
109,184,95,orange
103,209,98,orange
104,220,107,orange
107,199,99,orange
95,223,104,orange
112,236,116,orange
98,201,98,orange
98,229,100,orange
94,241,110,orange
109,183,97,orange
104,210,98,orange
106,220,108,orange
105,200,98,orange
96,222,104,orange
110,236,115,orange
99,202,97,orange
99,228,101,orange
93,241,112,orange
107,185,95,orange
104,208,97,orange
104,220,108,orange
106,197,100,orange
96,222,105,orange
112,237,115,orange
98,202,98,orange
98,228,101,orange
96,240,111,orange
109,183,96,orange
103,210,98,orange
101,221,108,orange
105,198,99,orange
94,221,105,orange
112,236,115,orange
100,200,96,orange
96,228,101,orange
95,238,112,orange
107,185,95,orange
102,209,98,orange
102,221,107,orange
105,200,98,orange
95,223,104,orange
109,236,114,orange
100,201,97,orange
97,228,102,orange
95,238,111,orange
108,185,96,orange
104,208,99,orange
104,218,108,orange
122,178,151,yellow
110,200,170,yellow
127,212,188,yellow
113,181,152,yellow
111,204,171,yellow
112,217,192,yellow
121,164,142,yellow
116,186,159,yellow
116,194,175,yellow
118,179,149,yellow
110,200,168,yellow
125,211,186,yellow
112,180,150,yellow
110,204,170,yellow
113,216,189,yellow
120,162,141,yellow
116,185,157,yellow
114,193,173,yellow
118,178,149,yellow
109,199,169,yellow
129,211,186,yellow
112,180,149,yellow
110,204,170,yellow
113,216,189,yellow
120,165,141,yellow
115,185,157,yellow
116,191,172,yellow
119,178,149,yellow
111,198,169,yellow
125,211,187,yellow
112,179,151,yellow
112,203,169,yellow
111,215,190,yellow
121,164,141,yellow
116,185,157,yellow
117,192,172,yellow
119,178,150,yellow
113,199,168,yellow
126,212,186,yellow
112,180,150,yellow
113,204,170,yellow
112,216,190,yellow
121,165,141,yellow
117,184,157,yellow
116,192,173,yellow
188,181,179,white
208,202,205,white
238,213,227,white
185,182,180,white
169,139,145,white
234,217,232,white
184,168,169,white
202,187,190,white
215,194,205,white
188,182,179,white
209,202,206,white
238,212,228,white
186,182,180,white
168,139,146,white
236,217,232,white
185,168,169,white
201,187,191,white
213,194,206,white
187,182,179,white
209,203,205,white
238,214,227,white
185,182,180,white
165,140,146,white
234,218,232,white
184,167,169,white
203,189,190,white
215,193,205,white
190,181,179,white
209,203,206,white
238,214,227,white
187,182,180,white
167,140,146,white
235,217,231,white
184,168,170,white
202,188,191,white
213,193,206,white
163,61,96,blue
170,66,104,blue
203,77,123,blue
158,56,96,blue
175,62,100,blue
193,71,119,blue
161,54,93,blue
172,57,95,blue
177,57,104,blue
160,63,95,blue
168,67,104,blue
201,76,123,blue
158,55,94,blue
178,58,100,blue
194,71,120,blue
157,56,94,blue
173,60,95,blue
179,61,104,blue
160,63,96,blue
170,68,104,blue
202,76,123,blue
161,58,93,blue
177,61,100,blue
191,70,121,blue
161,55,94,blue
172,59,95,blue
178,59,105,blue
127,72,102,green
120,76,112,green
140,85,129,green
120,65,102,green
126,72,110,green
124,75,123,green
130,67,98,green
126,70,104,green
125,70,110,green
125,72,102,green
121,75,111,green
141,86,127,green
120,62,102,green
127,71,110,green
124,75,123,green
127,64,99,green
127,66,104,green
128,69,110,green
126,72,103,green
121,77,111,green
140,85,129,green
119,66,101,green
127,72,109,green
127,75,122,green
129,63,99,green
127,69,103,green
128,67,110,green
124,73,103,green
118,78,112,green
141,88,129,green
123,67,102,green
125,71,109,green
125,75,123,green
129,62,100,green
129,67,104,green
128,69,110,green
127,73,102,green
120,78,111,green
141,88,128,green
121,66,103,green
123,75,109,green
125,76,124,green
130,63,99,green
128,67,105,green
129,68,110,green
128,73,102,green
123,75,111,green
140,84,129,green
122,63,102,green
122,73,110,green
123,75,124,green
128,63,99,green
128,68,102,green
125,70,111,green
127,73,103,green
125,77,111,green
140,85,129,green
122,66,100,green
122,71,110,green
127,75,123,green
130,62,99,green
127,69,103,green
129,67,112,green
128,73,104,green
121,74,112,green
142,87,129,green
123,63,103,green
124,73,110,green
125,76,123,green
130,64,99,green
130,68,103,green
129,67,111,green
126,74,104,green
121,78,112,green
141,85,129,green
123,67,101,green
126,70,111,green
126,75,124,green
129,63,100,green
126,69,105,green
128,67,113,green
161,61,97,blue
170,62,104,blue
196,70,116,blue
159,53,96,blue
179,56,100,blue
193,61,114,blue
160,57,93,blue
171,56,96,blue
180,55,106,blue
164,62,97,blue
173,64,103,blue
198,70,116,blue
162,51,96,blue
178,58,100,blue
190,61,114,blue
161,52,94,blue
172,57,95,blue
182,57,105,blue
164,62,97,blue
172,61,105,blue
197,69,116,blue
161,53,95,blue
180,56,99,blue
191,63,113,blue
158,54,95,blue
175,55,96,blue
182,54,106,blue
158,64,97,blue
173,64,103,blue
198,67,115,blue
162,53,95,blue
176,59,100,blue
192,62,113,blue
159,55,93,blue
173,54,96,blue
182,54,105,blue
160,60,98,blue
171,62,104,blue
196,69,116,blue
161,53,96,blue
177,58,100,blue
192,61,114,blue
162,55,94,blue
173,56,96,blue
182,55,106,blue
163,60,98,blue
172,63,103,blue
199,67,117,blue
158,53,97,blue
178,59,99,blue
192,61,113,blue
162,54,94,blue
172,55,96,blue
181,53,107,blue
163,61,98,blue
170,62,103,blue
198,69,117,blue
159,53,96,blue
178,57,100,blue
192,60,114,blue
161,54,93,blue
170,56,96,blue
181,55,107,blue
161,63,96,blue
169,63,103,blue
197,67,116,blue
159,56,95,blue
177,59,99,blue
193,59,114,blue
157,58,94,blue
172,56,95,blue
183,56,106,blue
163,56,100,blue
173,62,104,blue
198,69,117,blue
161,54,96,blue
180,56,102,blue
195,58,115,blue
164,53,95,blue
175,56,97,blue
187,52,107,blue
162,61,98,blue
173,64,104,blue
199,67,119,blue
160,55,95,blue
181,58,100,blue
194,60,115,blue
159,55,95,blue
172,52,97,blue
182,56,105,blue
165,62,97,blue
173,61,104,blue
199,66,117,blue
162,52,96,blue
180,56,100,blue
191,62,114,blue
159,55,94,blue
177,55,96,blue
182,54,106,blue
162,62,98,blue
172,63,104,blue
198,71,117,blue
163,54,95,blue
180,56,102,blue
193,62,114,blue
163,54,94,blue
174,53,97,blue
183,57,106,blue
161,63,98,blue
171,64,104,blue
197,69,118,blue
162,52,95,blue
179,59,101,blue
191,61,114,blue
162,53,95,blue
175,51,97,blue
184,54,107,blue
164,60,98,blue
173,60,105,blue
202,68,117,blue
164,53,96,blue
179,58,101,blue
194,60,113,blue
162,53,93,blue
175,56,95,blue
183,54,106,blue
162,60,98,blue
174,62,105,blue
202,69,117,blue
160,52,96,blue
178,56,101,blue
192,60,115,blue
162,55,94,blue
174,55,97,blue
184,56,106,blue
120,172,149,yellow
112,195,170,yellow
128,206,189,yellow
117,173,150,yellow
115,199,171,yellow
115,211,193,yellow
121,159,141,yellow
118,178,157,yellow
116,184,172,yellow
123,172,149,yellow
113,194,171,yellow
130,205,189,yellow
116,173,152,yellow
113,197,172,yellow
118,210,193,yellow
126,158,141,yellow
120,176,157,yellow
117,180,168,yellow
120,172,150,yellow
112,194,171,yellow
130,207,189,yellow
116,173,152,yellow
114,198,172,yellow
116,211,194,yellow
125,158,140,yellow
118,178,157,yellow
118,184,171,yellow
130,198,115,orange
123,221,124,orange
148,230,142,orange
126,206,116,orange
127,233,123,orange
125,236,132,orange
134,186,112,orange
131,206,116,orange
128,210,125,orange
130,198,116,orange
123,222,123,orange
147,230,143,orange
124,205,117,orange
126,233,124,orange
122,236,133,orange
131,188,113,orange
128,207,115,orange
127,211,123,orange
129,198,115,orange
124,221,123,orange
145,230,142,orange
125,205,116,orange
126,232,124,orange
124,236,132,orange
132,188,112,orange
128,206,115,orange
132,211,124,orange
130,197,115,orange
125,220,123,orange
147,230,142,orange
125,204,116,orange
126,233,124,orange
125,235,132,orange
134,185,112,orange
129,206,115,orange
129,210,124,orange
132,199,115,orange
124,219,124,orange
146,230,142,orange
125,204,116,orange
125,233,124,orange
125,238,132,orange
133,186,112,orange
131,206,114,orange
130,212,123,orange
131,197,116,orange
123,219,124,orange
146,231,141,orange
125,205,116,orange
123,232,124,orange
123,237,132,orange
132,187,112,orange
128,208,115,orange
126,212,124,orange
131,199,115,orange
124,221,124,orange
144,232,142,orange
126,204,117,orange
125,234,125,orange
125,236,132,orange
132,187,112,orange
129,207,116,orange
129,212,124,orange
129,198,115,orange
124,221,125,orange
147,231,145,orange
124,206,116,orange
125,234,124,orange
122,238,133,orange
131,189,112,orange
129,208,116,orange
128,213,125,orange
133,198,115,orange
124,222,124,orange
148,232,145,orange
125,206,116,orange
124,234,124,orange
122,238,132,orange
131,189,112,orange
128,207,116,orange
131,213,125,orange
132,197,117,orange
124,222,124,orange
150,231,144,orange
124,204,116,orange
126,233,125,orange
124,239,132,orange
133,187,112,orange
129,207,116,orange
130,213,124,orange
192,65,111,blue
202,67,115,blue
231,85,139,blue
192,56,108,blue
209,64,115,blue
223,68,131,blue
187,58,105,blue
199,58,107,blue
205,64,119,blue
190,67,111,blue
201,67,116,blue
234,85,140,blue
190,57,107,blue
208,64,114,blue
224,71,131,blue
188,58,105,blue
199,61,108,blue
207,62,119,blue
192,67,110,blue
201,66,116,blue
232,85,140,blue
191,58,107,blue
210,63,115,blue
222,73,131,blue
190,58,105,blue
201,63,108,blue
209,65,119,blue
193,68,110,blue
201,68,116,blue
233,83,140,blue
194,55,107,blue
212,64,113,blue
223,71,129,blue
187,58,105,blue
202,62,107,blue
209,63,118,blue
172,203,177,yellow
166,224,198,yellow
208,239,228,yellow
169,206,182,yellow
169,231,202,yellow
191,244,232,yellow
174,189,171,yellow
172,208,184,yellow
169,206,191,yellow
177,227,203,yellow
176,247,225,yellow
244,254,254,yellow
174,235,208,yellow
176,253,230,yellow
223,255,254,yellow
181,215,196,yellow
177,234,210,yellow
180,232,218,yellow
171,196,172,yellow
166,218,191,yellow
209,237,226,yellow
167,200,177,yellow
168,225,195,yellow
195,241,229,yellow
172,184,166,yellow
170,203,179,yellow
171,203,189,yellow
172,74,115,green
170,79,124,green
194,89,141,green
170,68,114,green
172,73,123,green
180,82,140,green
175,69,110,green
173,69,114,green
175,72,123,green
173,76,116,green
169,80,123,green
195,90,142,green
169,70,113,green
171,74,122,green
178,83,139,green
174,67,111,green
171,72,115,green
177,71,124,green
173,75,116,green
166,78,125,green
199,93,144,green
169,66,114,green
170,74,123,green
182,85,142,green
175,66,111,green
174,72,114,green
177,71,126,green
175,76,115,green
168,79,125,green
196,94,144,green
169,65,116,green
170,74,123,green
184,83,142,green
174,67,111,green
175,71,115,green
175,71,125,green
250,196,205,white
254,214,226,white
255,224,248,white
250,199,209,white
192,160,158,white
255,230,252,white
243,184,196,white
252,198,210,white
252,201,222,white
200,67,108,blue
206,68,115,blue
241,96,148,blue
198,58,106,blue
216,65,112,blue
231,76,134,blue
196,59,103,blue
205,58,108,blue
212,66,118,blue
155,196,173,yellow
148,217,191,yellow
188,233,223,yellow
151,200,177,yellow
149,223,194,yellow
174,239,226,yellow
155,185,167,yellow
152,201,180,yellow
153,197,185,yellow
163,196,173,yellow
158,218,191,yellow
202,237,227,yellow
157,200,176,yellow
157,223,195,yellow
185,239,228,yellow
165,184,167,yellow
161,202,179,yellow
159,197,185,yellow
155,149,90,red
152,167,94,red
198,189,138,red
149,154,89,red
153,176,91,red
178,190,126,red
158,139,89,red
153,159,88,red
154,162,99,red
154,149,91,red
150,167,95,red
197,194,140,red
151,151,90,red
154,175,91,red
178,194,128,red
157,140,88,red
155,158,90,red
160,161,99,red
154,190,113,orange
149,209,120,orange
